cheese,milk,type,texture,url
aarewasser,cow,semi-soft,buttery,https://www.cheese.com/aarewasser/
abbaye_de_belloc,sheep,"semi-hard, artisan","creamy, dense, firm",https://www.cheese.com/abbaye-de-belloc/
abbaye_de_belval,cow,semi-hard,elastic,https://www.cheese.com/abbaye-de-belval/
abbaye_de_citeaux,cow,"semi-soft, artisan, brined","creamy, dense, smooth",https://www.cheese.com/abbaye-de-citeaux/
abbaye_de_tamié,cow,"soft, artisan","creamy, open, smooth",https://www.cheese.com/tamie/
abbaye_de_timadeuc,cow,semi-hard,soft,https://www.cheese.com/abbaye-de-timadeuc/
abbaye_du_mont_des_cats,cow,"semi-soft, artisan, brined","smooth, supple",https://www.cheese.com/abbaye-du-mont-des-cats/
abbot_s_gold,cow,semi-hard,"creamy, crumbly, dense, semi firm",https://www.cheese.com/abbots-gold/
abertam,sheep,"hard, artisan",firm,https://www.cheese.com/abertam/
abondance,cow,"semi-hard, artisan",creamy,https://www.cheese.com/abondance/
acapella,goat,"soft, soft-ripened",mystery texture,https://www.cheese.com/acapella/
accasciato,"buffalo, cow",semi-hard,firm,https://www.cheese.com/accasciato/
ackawi,"cow, goat, sheep","soft, brined","elastic, smooth, springy",https://www.cheese.com/ackawi/
acorn,sheep,"hard, artisan","crumbly, firm",https://www.cheese.com/acorn/
adelost,cow,"semi-soft, blue-veined",creamy,https://www.cheese.com/adelost/
adl_brick_cheese,cow,semi-soft,"elastic, firm, open, soft",https://www.cheese.com/adl-brick-cheese/
adl_mild_cheddar,cow,semi-hard,"firm, springy",https://www.cheese.com/adl-mild-cheddar/
affidelice_au_chablis,cow,soft,"creamy, smooth",https://www.cheese.com/affidelice-au-chablis/
affineur_walo_rotwein_sennechäs,cow,"hard, artisan",smooth,https://www.cheese.com/affineur-walo-rotwein-sennechas/
afuega_l_pitu,cow,"soft, artisan",smooth,https://www.cheese.com/afuegal-pitu/
aged_british_cheddar,cow,"hard, artisan","crumbly, crystalline, flaky",https://www.cheese.com/aged-british-cheddar/
aged_cashew_&_blue_green_algae_cheese,mystery animal,"firm, artisan","firm, spreadable",https://www.cheese.com/aged-cashew-blue-green-algae-cheese/
aged_cashew_&_brazil_nut_cheese,mystery animal,"firm, artisan","firm, spreadable",https://www.cheese.com/aged-cashew-brazil-nut-cheese/
aged_cashew_&_dulse_cheese,mystery animal,"firm, artisan","firm, spreadable",https://www.cheese.com/aged-cashew-dulse-cheese/
aged_cashew_&_hemp_seed_cheese,mystery animal,"firm, artisan","firm, spreadable",https://www.cheese.com/aged-cashew-hemp-seed-cheese/
aged_cashew_nut_&_kale_cheese,mystery animal,"firm, artisan","firm, spreadable",https://www.cheese.com/aged-cashew-nut-kale-cheese/
aged_cashew_nut_cheese,mystery animal,"firm, artisan","firm, spreadable",https://www.cheese.com/aged-cashew-nut-cheese/
aged_cheddar,cow,hard,"buttery, creamy, crumbly",https://www.cheese.com/aged-cheddar/
aged_chelsea,goat,soft,"creamy, spreadable",https://www.cheese.com/aged-chelsea/
aged_gouda,"cow, goat, sheep",hard,"crumbly, crystalline, dense",https://www.cheese.com/aged-gouda/
aggiano,cow,"hard, artisan","creamy, dry",https://www.cheese.com/aggiano/
ailsa_craig,goat,"semi-soft, artisan","creamy, fluffy",https://www.cheese.com/ailsa-craig/
airedale,cow,"semi-soft, artisan",smooth,https://www.cheese.com/airedale/
aisy_cendre,cow,"semi-soft, smear-ripened","creamy, smooth",https://www.cheese.com/aisy-cendre/
alex_james_co._no_1_cheddar,cow,hard,"creamy, crumbly",https://www.cheese.com/alex-james-co-no-1-cheddar/
alex_james_co._no_2_blue_monday,cow,semi-soft,"creamy, semi firm",https://www.cheese.com/alex-james-co-no-2-blue-monday/
alex_james_co._no_3_valley_brie,cow,"soft, semi-soft","buttery, creamy, semi firm, smooth, soft",https://www.cheese.com/alex-james-co-no-3-valley-brie/
alex_james_co._no_4_goats_,goat,fresh soft,"smooth, springy",https://www.cheese.com/alex-james-co-no-4-goats/
alex_james_co._no_5_grunge,cow,"soft, semi-soft, organic","creamy, soft",https://www.cheese.com/alex-james-co-no-5-grunge/
alisia-victoria,cow,firm,smooth,https://www.cheese.com/alisia-victoria/
allgauer_emmentaler,cow,hard,firm,https://www.cheese.com/allgauer-emmentaler/
allium_piper,goat,"fresh soft, artisan","creamy, soft",https://www.cheese.com/allium-piper/
alma_vorarlberger_alpkäse_(3-5_months),cow,"hard, artisan",firm,https://www.cheese.com/alma-vorarlberger-alpkase-3-5-months/
alma_vorarlberger_alpkäse_(6-9_months),cow,"hard, artisan",firm,https://www.cheese.com/alma-vorarlberger-alpkase-6-9-months/
alma_vorarlberger_bergkäse_(10_months),cow,"hard, artisan","brittle, firm, flaky, open",https://www.cheese.com/alma-vorarlberger-bergkase-10-months/
alma_vorarlberger_bergkäse_(12_months),cow,"hard, artisan","brittle, firm, flaky, open",https://www.cheese.com/alma-vorarlberger-bergkase-12-months/
alma_vorarlberger_bergkäse_(6_months),cow,"hard, artisan","firm, open, supple",https://www.cheese.com/alma-vorarlberger-bergkase-6-months/
almnäs_tegel,cow,"hard, smear-ripened","open, smooth",https://www.cheese.com/almnas-tegel/
alpe_di_frabosa,cow,semi-soft,mystery texture,https://www.cheese.com/alpe-di-frabosa/
alpha_tolman,cow,"semi-hard, artisan","dense, elastic, smooth",https://www.cheese.com/alpha-tolman/
alpicrème,goat,soft,mystery texture,https://www.cheese.com/alpicreme/
alpine_gold,cow,"semi-soft, brined",supple,https://www.cheese.com/alpine-gold/
alpkäse,cow,hard,dense,https://www.cheese.com/alpkase/
alps_rebel,cow,"semi-hard, artisan","creamy, open",https://www.cheese.com/alps-rebel/
alta_badia,cow,semi-soft,firm,https://www.cheese.com/alta-badia/
alverca,"goat, sheep",semi-hard,mystery texture,https://www.cheese.com/alverca/
amablu_blue_cheese,cow,"semi-soft, artisan, blue-veined",crumbly,https://www.cheese.com/amablu-blue-cheese/
amalthée,goat,"soft, soft-ripened",mystery texture,https://www.cheese.com/amalthee/
amarelo_de_beira_baixa,"goat, sheep","semi-firm, artisan",mystery texture,https://www.cheese.com/amarelo-de-beira-baixa/
ameribella,cow,"semi-soft, artisan","creamy, runny, smooth, spreadable",https://www.cheese.com/ameribella/
american_cheese,cow,"semi-soft, processed",smooth,https://www.cheese.com/american-cheese/
ami_du_chambertin,cow,"semi-soft, artisan, brined",smooth,https://www.cheese.com/ami-du-chambertin/
amish_frolic,cow,"hard, artisan","flaky, open",https://www.cheese.com/amish-frolic/
amou,sheep,firm,mystery texture,https://www.cheese.com/amou/
amsterdammer_(british_columbia),mystery animal,"semi-soft, firm","buttery, creamy",https://www.cheese.com/amsterdammer-british-columbia/
amul_cheese_spread,cow,"soft, processed","creamy, spreadable",https://www.cheese.com/amul-cheese-spread/
amul_emmental,cow,semi-hard,"firm, open",https://www.cheese.com/amul-emmental/
amul_gouda,cow,semi-hard,"compact, dense, firm, springy",https://www.cheese.com/amul-gouda/
amul_pizza_mozzarella_cheese,cow,"semi-soft, processed","elastic, stringy",https://www.cheese.com/amul-pizza-mozzarella-cheese/
amul_processed_cheese,"cow, water buffalo","hard, processed","crumbly, dense",https://www.cheese.com/amul-processed-cheese/
anari,"goat, sheep","fresh soft, hard, artisan","brittle, creamy, flaky",https://www.cheese.com/anari/
anejo_enchilado,"cow, goat",semi-hard,"crumbly, firm",https://www.cheese.com/anejo-enchilado/
anneau_du_vic-bilh,goat,"soft, artisan","creamy, smooth",https://www.cheese.com/anneau-du-vic-bilh/
anniversary_ale_cheddar,cow,"semi-hard, artisan","dense, firm",https://www.cheese.com/anniversary-ale-cheddar/
anster,cow,"semi-hard, artisan","crumbly, dry",https://www.cheese.com/anster/
anthotyro,"goat, sheep","hard, whey",crumbly,https://www.cheese.com/anthotyro/
anthotyro_fresco,"goat, sheep","semi-soft, whey","creamy, smooth",https://www.cheese.com/anthotyro-fresco/
aphrodite_goat_milk_halloumi,goat,"semi-soft, artisan",soft,https://www.cheese.com/aphrodite-haloumi/
appalachian,cow,"semi-soft, artisan",firm,https://www.cheese.com/appalachian/
appenzeller,cow,"hard, artisan",firm,https://www.cheese.com/appenzeller/
apple_walnut_smoked,cow,"hard, artisan","creamy, smooth",https://www.cheese.com/apple-walnut-smoked/
appleby_s_double_gloucester,cow,"hard, artisan","crumbly, dense, firm, flaky, smooth",https://www.cheese.com/applebys-double-gloucester/
applewood,cow,semi-hard,"crumbly, dense",https://www.cheese.com/applewood/
applewood_smoked_chevre,goat,"semi-soft, artisan","creamy, crumbly, firm",https://www.cheese.com/applewood-smoked-chevre/
aragon,mystery animal,mystery type,mystery texture,https://www.cheese.com/aragon/
ardi_gasna,sheep,"hard, artisan","firm, supple",https://www.cheese.com/ardi-gasna/
ardrahan,cow,"semi-soft, brined","chalky, smooth",https://www.cheese.com/ardrahan/
ardsallagh_hard_goat_s_cheese,goat,"semi-hard, artisan","firm, smooth",https://www.cheese.com/ardsallagh-hard-goats-cheese/
ardsallagh_smoked_cheese,goat,"semi-hard, artisan","firm, smooth",https://www.cheese.com/ardsallagh-smoked-cheese/
ardsallagh_soft_goat_s_cheese,mystery animal,mystery type,mystery texture,https://www.cheese.com/ardsallagh-soft-goats-cheese/
armenian_string_cheese,"cow, goat, sheep",semi-soft,"creamy, smooth, springy",https://www.cheese.com/armenian-string-cheese/
aromes_au_gene_de_marc,"cow, goat","semi-soft, artisan","creamy, flaky",https://www.cheese.com/aromes-au-gene-de-marc/
arådalen,cow,"soft, artisan, blue-veined",creamy,https://www.cheese.com/aradalen/
ascutney_mountain,cow,"hard, artisan","chewy, dense",https://www.cheese.com/ascutney-mountain/
asher_blue,cow,"semi-soft, blue-veined","creamy, crumbly",https://www.cheese.com/asher-blue/
ashley,cow,"soft, artisan, soft-ripened","creamy, soft",https://www.cheese.com/ashley/
asiago_dop,cow,hard,"compact, crumbly, open, smooth",https://www.cheese.com/asiago/
asiago_d_allevo_dop,cow,hard,compact,https://www.cheese.com/asiago-dallevo/
asiago_pressato_dop,cow,semi-soft,"creamy, smooth",https://www.cheese.com/asiago-pressato/
aspen_ash,goat,"soft, soft-ripened",creamy,https://www.cheese.com/aspen-ash/
assa,goat,mystery type,mystery texture,https://www.cheese.com/assa/
aubisque_pyrenees,"cow, sheep",semi-hard,smooth,https://www.cheese.com/aubisque-pyrenees/
auld_lochnagar,cow,hard,"compact, crumbly",https://www.cheese.com/auld-lochnagar/
auld_reekie,cow,hard,"buttery, compact, crumbly",https://www.cheese.com/auld-reekie/
aura,cow,"semi-soft, blue-veined",creamy,https://www.cheese.com/aura/
austrian_alps_cheese,cow,mystery type,smooth,https://www.cheese.com/austrian-alps/
autun,"cow, goat","fresh soft, artisan",creamy,https://www.cheese.com/autun/
avaxtskyr,cow,fresh soft,mystery texture,https://www.cheese.com/avaxtskyr/
avonlea_clothbound_cheddar,cow,"hard, artisan","creamy, crumbly, firm",https://www.cheese.com/avonlea-clothbound-cheddar/
azeitao,sheep,"semi-soft, artisan","creamy, supple",https://www.cheese.com/azeitao/
baby_brie,cow,soft,creamy,https://www.cheese.com/baby-brie/
baby_swiss,cow,"semi-soft, processed","creamy, open, smooth",https://www.cheese.com/baby-swiss/
babybel,cow,semi-hard,smooth,https://www.cheese.com/babybel/
bad_axe,sheep,"semi-hard, artisan","creamy, firm, smooth",https://www.cheese.com/bad-axe/
baguette_laonnaise,cow,"soft, artisan","open, supple",https://www.cheese.com/baguette-laonnaise/
baita_friuli,cow,firm,compact,https://www.cheese.com/baita-friuli/
baladi,"cow, goat, sheep","fresh soft, artisan","creamy, dense, smooth",https://www.cheese.com/baladi/
balaton,cow,semi-hard,firm,https://www.cheese.com/balaton/
balfour,sheep,hard,"crumbly, flaky, grainy",https://www.cheese.com/balfour/
baluchon,cow,semi-soft,creamy,https://www.cheese.com/baluchon/
bandal,cow,"semi-soft, artisan",crumbly,https://www.cheese.com/bandal/
banon,goat,"soft, artisan","creamy, smooth",https://www.cheese.com/banon/
barambah_organics_marinated_feta,cow,fresh soft,"creamy, crumbly, springy",https://www.cheese.com/barambah-organics-marinated-feta/
barber_s_1833,cow,hard,creamy,https://www.cheese.com/barbers-1833/
barberey,cow,soft,"dry, smooth, soft",https://www.cheese.com/barberey/
barden_blue,cow,"semi-hard, artisan, blue-veined","buttery, dense, open",https://www.cheese.com/barden-blue/
barely_buzzed,cow,"hard, artisan","creamy, smooth",https://www.cheese.com/barely-buzzed/
barilotto,buffalo,"hard, soft-ripened",firm,https://www.cheese.com/barilotto/
barlocco,cow,semi-soft,creamy,https://www.cheese.com/barlocco/
baron_bigod,cow,"soft, artisan","creamy, smooth",https://www.cheese.com/baron-bigod/
baron_bigod_baby_truffle,cow,"soft, artisan","creamy, smooth",https://www.cheese.com/baron-bigod-baby-truffle/
baronerosso_di_capra,goat,semi-hard,"crumbly, firm",https://www.cheese.com/baronerosso-di-capra/
barrel_aged_feta,"cow, goat, sheep","soft, artisan","creamy, crumbly",https://www.cheese.com/barrel-aged-feta/
barricato_al_pepe,cow,"firm, artisan",crumbly,https://www.cheese.com/barricato-al-pepe/
barriquet,goat,soft,"smooth, supple",https://www.cheese.com/barriquet/
barry_s_bay_cheddar,cow,"hard, artisan",creamy,https://www.cheese.com/barrys-bay-cheddar/
bartlett,sheep,"soft, artisan","dense, smooth",https://www.cheese.com/bartlett/
basajo,sheep,"semi-soft, blue-veined",creamy,https://www.cheese.com/basajo/
baserri,sheep,"semi-hard, artisan","creamy, crumbly",https://www.cheese.com/baserri/
basils_original_rauchkäse,cow,semi-soft,"compact, dense, soft",https://www.cheese.com/basils-original-rauchkase/
basing,goat,hard,crumbly,https://www.cheese.com/basing/
baskeriu,sheep,semi-soft,"dry, smooth",https://www.cheese.com/baskeriu/
basket_cheese,cow,"soft, semi-soft","chewy, supple",https://www.cheese.com/basket-cheese/
basket_molded_ricotta,cow,fresh firm,firm,https://www.cheese.com/basket-molded-ricotta/
bassigny_au_porto,cow,semi-soft,mystery texture,https://www.cheese.com/bassigny-au-porto/
bath_blue,cow,"soft, artisan, blue-veined","creamy, smooth",https://www.cheese.com/bath-blue/
bath_soft_cheese,cow,soft,creamy,https://www.cheese.com/bath-soft/
